pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,isInsideOut,isInsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
15-15,5-3,0-0,,2057914,,,45,,2,Deuce,Jo-Yee Chan,Far,,,,,,,,,,173.0,-491.0,Down the Line,Forehand,,,,,,,,,,56.0,178.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Elise Wagle,,,,,0,,,Short
15-15,5-3,0-0,,2059340,,,45,,3,Deuce,Jo-Yee Chan,Far,,,,,,,,,,-16.0,471.0,Crosscourt,Forehand,,,,,,,,,,72.0,-318.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Jo-Yee Chan,,,,,0,,,Short
15-15,5-3,0-0,,2061236,,,45,,4,Deuce,Jo-Yee Chan,Far,,,,,,,,,,120.0,-526.0,Down the Line,Forehand,,,,,,,,,,53.0,389.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Elise Wagle,,,,,0,,,Deep
15-15,5-3,0-0,,2063139,,,45,,5,Ad,Jo-Yee Chan,Far,,,,,,,,,,53.0,484.0,Down the Line,Backhand,,,,,,,,,,24.0,-203.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Jo-Yee Chan,,,,,0,,,Short
15-15,5-3,0-0,,2064290,,,45,,6,Deuce,Jo-Yee Chan,Far,,,,,,,,,,5.0,-435.0,Crosscourt,Forehand,,,,,,,,,,-85.0,383.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Elise Wagle,,,,,0,,,Deep
15-15,5-3,0-0,,2065755,,,45,,7,Deuce,Jo-Yee Chan,Far,,,,,,,,,,-133.0,490.0,Down the Line,Forehand,,,,,,,,,,-101.0,-267.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Jo-Yee Chan,,,,,0,,,Short
15-15,5-3,0-0,,2067559,1.0,,45,,8,Ad,Jo-Yee Chan,Far,,,,,,,,,,-91.0,-272.0,Crosscourt,Backhand,,,1.0,,,,,,,40.0,72.0,1.0,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Elise Wagle,,,,Elise Wagle,0,,,Short
30-15,5-3,0-0,1.0,2086742,1.0,,46,,1,Ad,Jo-Yee Chan,Far,1.0,Body,-85.0,-231.0,,,,,1,,,,,,,,,,,,,,,,1.0,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Jo-Yee Chan,,,,Jo-Yee Chan,0,1st Serve In,Body,
40-15,5-3,0-0,1.0,2124117,,,47,,1,Deuce,Jo-Yee Chan,Far,1.0,Body,82.0,-178.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Jo-Yee Chan,,,,,0,1st Serve In,Body,
40-15,5-3,0-0,,2128967,,,47,,2,Deuce,Jo-Yee Chan,Far,,,,,,,,,,189.0,-486.0,Down the Line,Forehand,,,,,,,,,,72.0,391.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Elise Wagle,,,,,0,,,Deep
40-15,5-3,0-0,,2130425,1.0,,47,,3,Ad,Jo-Yee Chan,Far,,,,,,,,,,40.0,471.0,Down the Line,Backhand,,,,,,,,,,173.0,-331.0,,,1.0,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Elise Wagle,Jo-Yee Chan,,,,Elise Wagle,1,,,
0-0,0-0,1-0,1.0,2430303,,,48,,1,Deuce,Elise Wagle,Far,1.0,T,48.0,-215.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Elise Wagle,,,,,0,1st Serve In,T,
0-0,0-0,1-0,,2433458,,,48,,2,Deuce,Elise Wagle,Far,,,,,,,,,,106.0,-494.0,Crosscourt,Forehand,,,,,,,,,,-43.0,256.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Jo-Yee Chan,,,,,0,,,Short
0-0,0-0,1-0,,2434882,,,48,,3,Deuce,Elise Wagle,Far,,,,,,,,,,-69.0,474.0,Down the Line,Forehand,,,,,,,,,,-80.0,-219.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Elise Wagle,,,,,0,,,Short
0-0,0-0,1-0,,2436253,,,48,,4,Ad,Elise Wagle,Far,,,,,,,,,,-75.0,-491.0,Crosscourt,Backhand,,,,,,,,,,88.0,178.0,,,,,,UCLA,4/13/24,D1,,,,,Oregon,Elise Wagle,Jo-Yee Chan,Right,Right,,Hard,,,Jo-Yee Chan,Jo-Yee Chan,,,,,0,,,Short
