isErrorWideL,shotDirection,isSlice,secondServeZone,pointNumber,clientTeam,Event,secondServeXCoord,firstServeYCoord,firstServeIn,lineupPosition,shotInRally,Date,Surface,firstServeZone,isErrorLong,isErrorNet,player1Hand,player2Hand,shotLocationY,isExcitingPoint,isOverhead,pointScore,setScore,isApproach,player1Name,matchDetails,gameScore,serverName,isDropshot,shotFhBh,isBreakPoint,isLob,pointStartTime,shotLocationX,isLet,isVolley,isErrorWideR,matchVenue,pointEndTime,firstServeXCoord,isAce,serverFarNear,secondServeIn,Division,side,Notes,atNetPlayer2,shotContactX,atNetPlayer1,isPointEnd,Round,isPointStart,player2Name,isWinner,opponentTeam,secondServeYCoord,shotContactY,player1,player2,returnerName,shotHitBy,pointWonBy
,Crosscourt,,,73,,,,,,,3.0,,,,1.0,,,,-569.0,,,30-15,1-0,,,,1-1,Aristotelis Thanos,,Forehand,,,3396608,-185.0,,,1.0,,3398513.0,,,Far,,,Ad,,,111.0,,1.0,,,,,,,438.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Rudy Quan
,,,Body,74,,,62.0,-286.0,0.0,,1.0,,,Wide,,,,,,,,30-30,1-0,,,,1-1,Aristotelis Thanos,,,,,3400850,,,,,,,121.0,,Far,1.0,,Deuce,,,,,,,1.0,,,,-213.0,,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,74,,,,,,,2.0,,,,,,,,405.0,,,30-30,1-0,,,,1-1,Aristotelis Thanos,,Forehand,,,3445083,-26.0,,,,,,,,Far,,,Deuce,,,166.0,,,,,,,,,-532.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Rudy Quan
,Crosscourt,,,74,,,,,,,3.0,,,,,,,,-272.0,,,30-30,1-0,,,,1-1,Aristotelis Thanos,,Forehand,,,3445994,78.0,,,,,,,,Far,,,Deuce,,,-87.0,,,,,,,,,503.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,74,,,,,,,4.0,,,,,,,,204.0,,,30-30,1-0,,,,1-1,Aristotelis Thanos,,Forehand,,,3446772,-10.0,,,,,,,,Far,,,Deuce,,,126.0,,,,,,,,,-579.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Rudy Quan
1.0,Crosscourt,,,74,,,,,,,5.0,,,,,,,,-47.0,,,30-30,1-0,,,,1-1,Aristotelis Thanos,1.0,Forehand,,,3449207,163.0,,,,,3452595.0,,,Far,,,Deuce,,,-53.0,,1.0,,,,,,,405.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Rudy Quan
,,,,75,,,,-219.0,1.0,,1.0,,,Wide,,,,,,,,30-40,1-0,,,,1-1,Aristotelis Thanos,,,1.0,,3460403,,,,,,,-132.0,,Far,,,Ad,,,,,,,1.0,,,,,,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,75,,,,,,,2.0,,,,,,,,408.0,,,30-40,1-0,,,,1-1,Aristotelis Thanos,,Backhand,,,3491379,108.0,,,,,,,,Far,,,Ad,,,-322.0,,,,,,,,,-559.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Rudy Quan
,Crosscourt,,,75,,,,,,,3.0,,,,,,,,-291.0,,,30-40,1-0,,,,1-1,Aristotelis Thanos,,Backhand,,,3493137,-15.0,,,,,,,,Far,,,Ad,,,164.0,,,,,,,,,509.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Rudy Quan
,Down the Line,,,75,,,,,,,4.0,,,,,,,,422.0,,,30-40,1-0,,,,1-1,Aristotelis Thanos,,Forehand,,,3494586,-114.0,,,,,,,,Far,,,Ad,,,-39.0,,,,,,,,,-572.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Rudy Quan
1.0,Crosscourt,,,75,,,,,,,5.0,,,,,,,,-357.0,,,30-40,1-0,,,,1-1,Aristotelis Thanos,,Forehand,,,3495700,231.0,,,,,3497172.0,,,Far,,,Deuce,,,-164.0,,1.0,,,,,,,549.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Rudy Quan
,,,,76,,,,-214.0,1.0,,1.0,,,Body,,,,,,,,0-0,1-0,,,,2-1,Rudy Quan,,,,,3594851,,,,,,,87.0,,Far,,,Deuce,,,,,,,1.0,,,,,,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,
,Crosscourt,,,76,,,,,,,2.0,,,,,,,,408.0,,,0-0,1-0,,,,2-1,Rudy Quan,,Forehand,,,3610982,-108.0,,,,,,,,Far,,,Deuce,,,151.0,,,,,,,,,-545.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,
,Down the Line,,,76,,,,,,,3.0,,,,,,,,-387.0,,,0-0,1-0,,,,2-1,Rudy Quan,,Forehand,,,3612744,-95.0,,,,,,,,Far,,,Deuce,,,-177.0,,,,,,,,,549.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,
,Crosscourt,,,76,,,,,,,4.0,,,,,,,,373.0,,,0-0,1-0,,,,2-1,Rudy Quan,,Backhand,,,3613856,119.0,,,,,,,,Far,,,Ad,,,-92.0,,,,,,,,,-519.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,
,Crosscourt,,,76,,,,,,,5.0,,,,,,,,-360.0,,,0-0,1-0,,,,2-1,Rudy Quan,,Backhand,,,3614826,-84.0,,,,,,,,Far,,,Ad,,,111.0,,,,,,,,,541.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,
,Crosscourt,,,76,,,,,,,6.0,,,,,,,,312.0,,,0-0,1-0,,,,2-1,Rudy Quan,,Backhand,,,3616614,79.0,,,,,,,,Far,,,Ad,,,-153.0,,,,,,,,,-577.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,
,Crosscourt,,,77,,,,,,,2.0,,,,,,,,420.0,,,15-0,1-0,,,,2-1,Rudy Quan,,Forehand,,,3656294,71.0,,,,,,,,Far,,,Ad,,,-121.0,,,,,,,,,-566.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,
,Crosscourt,,,77,,,,,,,3.0,,,,,,,,-414.0,,,15-0,1-0,,,,2-1,Rudy Quan,,Backhand,,,3657486,-28.0,,,,,,,,Far,,,Ad,,,65.0,,,,,,,,,536.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,
,Crosscourt,,,77,,,,,,,4.0,,,,,,,,394.0,,,15-0,1-0,,,,2-1,Rudy Quan,,Forehand,,,3658936,97.0,,,,,,,,Far,,,Ad,,,-60.0,,,,,,,,,-580.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,
,Crosscourt,,,77,,,,,,,5.0,,,,,,,,-339.0,,,15-0,1-0,,,,2-1,Rudy Quan,,Backhand,,,3660332,-60.0,,,,,,,,Far,,,Ad,,,129.0,,,,,,,,,521.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,
,Crosscourt,,,77,,,,,,,6.0,,,,,,,,344.0,,,15-0,1-0,,,,2-1,Rudy Quan,,Forehand,,,3662008,113.0,,,,,,,,Far,,,Ad,,,-169.0,,,,,,,,,-546.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,
,Down the Line,,,77,,,,,,,7.0,,,,,,,,-307.0,,,15-0,1-0,,,,2-1,Rudy Quan,,Backhand,,,3663119,68.0,,,,,,,,Far,,,Ad,,,135.0,,,,,,,,,503.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,
,Down the Line,,,77,,,,,,,8.0,,,,,1.0,,,-25.0,,,15-0,1-0,,,,2-1,Rudy Quan,,Forehand,,,3664628,-71.0,,,,,3665715.0,,,Far,,,Ad,,,-28.0,,1.0,,,,,,,-490.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,
,,,,77,,,,-240.0,1.0,,1.0,,,Body,,,,,,,,15-0,1-0,,,,2-1,Rudy Quan,,,,,3679948,,,,,,,-87.0,,Far,,,Ad,,,,,,,1.0,,,,,,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,
,,,,78,,,,-219.0,1.0,,1.0,,,T,,,,,,,,30-0,1-0,,,,2-1,Rudy Quan,,,,,3700490,,,,,,,28.0,,Far,,,Deuce,,,,,,,1.0,,,,,,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Crosscourt,,,78,,,,,,,2.0,,,,,,,,232.0,,,30-0,1-0,,,,2-1,Rudy Quan,,Backhand,,,3701861,-119.0,,,,,,,,Far,,,Deuce,,,84.0,,,,,,,,,-572.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,Crosscourt,,,78,,,,,,,3.0,,,,,,,,-389.0,,,30-0,1-0,,,,2-1,Rudy Quan,,Forehand,,,3704221,60.0,,,,,,,,Far,,,Deuce,,,-156.0,,,,,,,,,514.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Crosscourt,,,78,,,,,,,4.0,,,,,,,,416.0,,,30-0,1-0,,,,2-1,Rudy Quan,,Forehand,,,3705038,-127.0,,,,,,,,Far,,,Deuce,,,111.0,,,,,,,,,-550.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,Crosscourt,,,78,,,,,,,5.0,,,,,,,,-280.0,,,30-0,1-0,,,,2-1,Rudy Quan,,Forehand,,,3706392,49.0,,,,,,,,Far,,,Deuce,,,-207.0,,,,,,,,,538.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Crosscourt,,,78,,,,,,,6.0,,,,,,,,421.0,,,30-0,1-0,,,,2-1,Rudy Quan,,Forehand,,,3707309,-41.0,,,,,,,,Far,,,Deuce,,,63.0,,,,,,,,,-533.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,Down the Line,,,78,,,,,,,7.0,,,,,,,,-286.0,,,30-0,1-0,,,,2-1,Rudy Quan,,Forehand,,,3708521,-79.0,,,,,,,,Far,,,Deuce,,,-65.0,,,,,,,,,548.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Down the Line,,,78,,,,,,,8.0,,,,,,,,349.0,,,30-0,1-0,,,,2-1,Rudy Quan,,Forehand,,,3709741,-153.0,,,,,,,,Far,,,Ad,,,-116.0,,,,,,,,,-511.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,Crosscourt,,,78,,,,,,,9.0,,,,,1.0,,,21.0,,,30-0,1-0,,,,2-1,Rudy Quan,,Forehand,,,3711691,41.0,,,,,3712719.0,,,Far,,,Deuce,,,-191.0,,1.0,,,,,,,588.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,,,,79,,,,-216.0,1.0,,1.0,,,Wide,,,,,,,,30-15,1-0,,,,2-1,Rudy Quan,,,,,3739950,,,,,,,-127.0,,Far,,,Ad,,,,,,,1.0,,,,,,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Down the Line,,,79,,,,,,,2.0,,,,1.0,,,,489.0,,,30-15,1-0,,,,2-1,Rudy Quan,,Backhand,,,3745491,-41.0,,,,,3748415.0,,,Far,,,Ad,,,-204.0,,1.0,,,,,,,-555.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,,,,80,,,,-216.0,1.0,,1.0,,,Body,,,,,,,,40-15,1-0,,,,2-1,Rudy Quan,,,,,3759686,,,,,,,84.0,,Far,,,Deuce,,,,,,,1.0,,,,,,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Down the Line,,,80,,,,,,,2.0,,,,,,,,411.0,,,40-15,1-0,,,,2-1,Rudy Quan,,Forehand,,,3769135,68.0,,,,,,,,Far,,,Deuce,,,167.0,,,,,,,,,-577.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,Crosscourt,,,80,,,,,,,3.0,,,,,,,,-216.0,,,40-15,1-0,,,,2-1,Rudy Quan,,Backhand,,,3770692,-103.0,,,,,,,,Far,,,Ad,,,73.0,,,,,,,,,519.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Crosscourt,,,80,,,,,,,4.0,,,,,,,,432.0,,,40-15,1-0,,,,2-1,Rudy Quan,,Backhand,,,3771988,119.0,,,,,,,,Far,,,Ad,,,-151.0,,,,,,,,,-509.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,Crosscourt,,,80,,,,,,,5.0,,,,,,,,-278.0,,,40-15,1-0,,,,2-1,Rudy Quan,,Backhand,,,3773675,-76.0,,,,,,,,Far,,,Ad,,,116.0,,,,,,,,,588.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Crosscourt,,,80,,,,,,,6.0,,,,,,,,416.0,,,40-15,1-0,,,,2-1,Rudy Quan,,Backhand,,,3774787,63.0,,,,,,,,Far,,,Ad,,,-161.0,,,,,,,,,-572.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,Crosscourt,,,80,,,,,,,7.0,,,,,,,,-320.0,,,40-15,1-0,,,,2-1,Rudy Quan,,Backhand,,,3776207,-121.0,,,,,,,,Far,,,Ad,,,100.0,,,,,,,,,527.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Crosscourt,,,80,,,,,,,8.0,,,,,,,,423.0,,,40-15,1-0,,,,2-1,Rudy Quan,,Backhand,,,3777501,105.0,,,,,,,,Far,,,Ad,,,-159.0,,,,,,,,,-482.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,Crosscourt,,,80,,,,,,,9.0,,,,,,,,-428.0,,,40-15,1-0,,,,2-1,Rudy Quan,,Backhand,,,3779505,-17.0,,,,,,,,Far,,,Ad,,,113.0,,,,,,,,,492.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Crosscourt,,,80,,,,,,,10.0,,,,,,,,351.0,,,40-15,1-0,,,,2-1,Rudy Quan,,Forehand,,,3780845,-135.0,,,,,,,,Far,,,Deuce,,,41.0,,,,,,,,,-536.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,Down the Line,,,80,,,,,,,11.0,,,,,,,,-262.0,,,40-15,1-0,,,,2-1,Rudy Quan,,Forehand,,,3781690,-1.0,,,,,,,,Far,,,Deuce,,,-257.0,,,,,,,,,532.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Crosscourt,,,80,,,,,,,12.0,,,,,,,,199.0,,,40-15,1-0,,,,2-1,Rudy Quan,,Forehand,,,3782795,28.0,,,,,,,,Far,,,Ad,,,-9.0,,,,,,,,,-370.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,Crosscourt,,,80,,,,,,,13.0,,,,,1.0,,,354.0,,1.0,40-15,1-0,,,,2-1,Rudy Quan,,Forehand,,,3784457,-271.0,,,1.0,,3787344.0,,,Far,,,Ad,,,84.0,,1.0,,,,,,,494.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,,,T,81,,,-31.0,-24.0,0.0,,1.0,,,Body,,,,,,,,0-0,1-0,,,,3-1,Aristotelis Thanos,,,,,3816274,,,,,,,-81.0,,Near,1.0,,Deuce,,,,,,,1.0,,,,229.0,,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos
,Down the Line,,,81,,,,,,,2.0,,,,,,,,-418.0,,,0-0,1-0,,,,3-1,Aristotelis Thanos,,Backhand,,,3842622,-1.0,,,,,,,,Near,,,Deuce,,,-68.0,,,,,,,,,546.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Aristotelis Thanos
,Down the Line,,,81,,,,,,,3.0,,,,,,,,274.0,,,0-0,1-0,,,,3-1,Aristotelis Thanos,,Forehand,,,3844896,-143.0,,,,,,,,Near,,,Ad,,,-20.0,,,,,,,,,-600.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos
,Down the Line,,,81,,,,,,,4.0,,,,,1.0,,,21.0,,,0-0,1-0,,,,3-1,Aristotelis Thanos,,Forehand,,,3845872,-116.0,,,,,3848630.0,,,Near,,,Deuce,,,-249.0,,1.0,,,,,,,511.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Aristotelis Thanos
,,,,82,,,,216.0,1.0,,1.0,,,Wide,,,,,,,,15-0,1-0,,,,3-1,Aristotelis Thanos,,,,,3862543,,,,,,,121.0,,Near,,,Ad,,,,,,,1.0,,,,,,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,82,,,,,,,2.0,,,,,,,,-367.0,,,15-0,1-0,,,,3-1,Aristotelis Thanos,,Backhand,,,3877252,-79.0,,,,,,,,Near,,,Ad,,,177.0,,,,,,,,,543.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Rudy Quan
,Crosscourt,,,82,,,,,,,3.0,,,,,,,,236.0,,,15-0,1-0,,,,3-1,Aristotelis Thanos,,Forehand,,,3879165,71.0,,,,,,,,Near,,,Ad,,,-116.0,,,,,,,,,-541.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Rudy Quan
,Down the Line,,,82,,,,,,,4.0,,,,,,,,-380.0,,,15-0,1-0,,,,3-1,Aristotelis Thanos,,Backhand,,,3880464,28.0,,,,,,,,Near,,,Ad,,,135.0,,,,,,,,,500.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Rudy Quan
,Crosscourt,,,82,,,,,,,5.0,,,,,,,,396.0,,,15-0,1-0,,,,3-1,Aristotelis Thanos,,Forehand,,,3882163,-135.0,,,,,,,,Near,,,Deuce,,,17.0,,,,,,,,,-501.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,82,,,,,,,6.0,,,,,,,,-310.0,,,15-0,1-0,,,,3-1,Aristotelis Thanos,,Forehand,,,3883557,1.0,,,,,,,,Near,,,Deuce,,,-209.0,,,,,,,,,526.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Rudy Quan
,Crosscourt,,,82,,,,,,,7.0,,,,1.0,,,,514.0,,,15-0,1-0,,,,3-1,Aristotelis Thanos,,Forehand,,,3884440,60.0,,,,,3887766.0,,,Near,,,Ad,,,-20.0,,1.0,,,,,,,-498.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Rudy Quan
,,,,83,,,,195.0,1.0,,1.0,,,Wide,,,,,,,,15-15,1-0,,,,3-1,Aristotelis Thanos,,,,,3894693,,,,,,,-129.0,,Near,,,Deuce,,,,,,,1.0,,,,,,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos
,Crosscourt,,,83,,,,,,,2.0,,,,,,,,-289.0,,,15-15,1-0,,,,3-1,Aristotelis Thanos,,Forehand,,,3920040,1.0,,,,,,,,Near,,,Deuce,,,-217.0,,,,,,,,,524.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Aristotelis Thanos
,Down the Line,,,83,,,,,,,3.0,,,,,,,,413.0,,,15-15,1-0,,,,3-1,Aristotelis Thanos,,Forehand,,,3921447,81.0,,,,,,,,Near,,,Deuce,,,7.0,,,,,,,,,-482.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos
,Down the Line,,,83,,,,,,,4.0,,,,,1.0,,,23.0,,,15-15,1-0,,,,3-1,Aristotelis Thanos,,Backhand,,,3922840,17.0,,,,,3923626.0,,,Near,,,Ad,,,97.0,,1.0,,,,,,,543.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Aristotelis Thanos
,,,,84,,,,205.0,1.0,,1.0,,,Wide,,,,,,,,30-15,1-0,,,,3-1,Aristotelis Thanos,,,,,3939103,,,,,,,143.0,,Near,,,Ad,,,,,,,1.0,,,,,,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos
,Crosscourt,,,84,,,,,,,2.0,,,,,,,,-273.0,,,30-15,1-0,,,,3-1,Aristotelis Thanos,,Backhand,,,3952876,-63.0,,,,,,,,Near,,,Ad,,,169.0,,,,,,,,,559.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Aristotelis Thanos
,Down the Line,,,84,,,,,,,3.0,,,,,,,,423.0,,,30-15,1-0,,,,3-1,Aristotelis Thanos,,Forehand,,,3954763,-119.0,,,,,,,,Near,,,Ad,,,-129.0,,,,,,,,,-445.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos
,Down the Line,,,84,,,,,,,4.0,,,,,1.0,,,20.0,,,30-15,1-0,,,,3-1,Aristotelis Thanos,,Forehand,,,3955996,-71.0,,,,,3957060.0,,,Near,,,Deuce,,,-124.0,,1.0,,,,,,,561.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Aristotelis Thanos
,,,T,85,,,-39.0,-32.0,0.0,,1.0,,,Wide,,,,,,,,40-15,1-0,,,,3-1,Aristotelis Thanos,,,,,3966659,,,,,,,-119.0,,Near,1.0,,Deuce,,,,,,,1.0,,,,221.0,,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Rudy Quan
,Down the Line,,,85,,,,,,,2.0,,,,,,,,-223.0,,,40-15,1-0,,,,3-1,Aristotelis Thanos,,Forehand,,,4002230,-26.0,,,,,,,,Near,,,Deuce,,,-66.0,,,,,,,,,503.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Rudy Quan
1.0,Down the Line,,,85,,,,,,,3.0,,,,,,,,439.0,,,40-15,1-0,,,,3-1,Aristotelis Thanos,,Forehand,,,4003573,-181.0,,,,,4007456.0,,,Near,,,Ad,,,-15.0,,1.0,,,,,,,-504.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Rudy Quan
,,,,86,,,,207.0,1.0,,1.0,,,Wide,,,,,,,,40-30,1-0,,,,3-1,Aristotelis Thanos,,,,,4024246,,,,,,,126.0,,Near,,,Ad,,,,,,,1.0,,,,,,Rudy Quan,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos
1.0,Down the Line,,,86,,,,,,,2.0,,,,,,,,-106.0,,,40-30,1-0,,,,3-1,Aristotelis Thanos,,Backhand,,,4031290,180.0,,,,,4035355.0,,,Near,,,Ad,,,166.0,,1.0,,,,,,,560.0,Rudy Quan,Aristotelis Thanos,Rudy Quan,Rudy Quan,Aristotelis Thanos
,,,Body,87,,,-79.0,-21.0,0.0,,1.0,,,T,,,,,,,,0-0,1-0,,,,3-2,Rudy Quan,,,,,4135000,,,,,,,-31.0,,Near,1.0,,Deuce,,,,,,,1.0,,,,200.0,,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Down the Line,,,87,,,,,,,2.0,,,,,,,,-299.0,,,0-0,1-0,,,,3-2,Rudy Quan,,Forehand,,,4161098,-77.0,,,,,,,,Near,,,Deuce,,,-109.0,,,,,,,,,570.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,Crosscourt,,,87,,,,,,,3.0,,,,,,,,312.0,,,0-0,1-0,,,,3-2,Rudy Quan,,Backhand,,,4162648,56.0,,,,,,,,Near,,,Ad,,,-72.0,,,,,,,,,-556.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Crosscourt,,,87,,,,,,,4.0,,,,,,,,-291.0,,,0-0,1-0,,,,3-2,Rudy Quan,,Backhand,,,4163949,-96.0,,,,,,,,Near,,,Ad,,,59.0,,,,,,,,,505.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,Crosscourt,,,87,,,,,,,5.0,,,,,,,,258.0,,,0-0,1-0,,,,3-2,Rudy Quan,,Backhand,,,4165047,86.0,,,,,,,,Near,,,Ad,,,-107.0,,,,,,,,,-578.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Crosscourt,,,87,,,,,,,6.0,,,,,,,,-310.0,,,0-0,1-0,,,,3-2,Rudy Quan,,Backhand,,,4166480,-131.0,,,,,,,,Near,,,Ad,,,134.0,,,,,,,,,503.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,Crosscourt,,,87,,,,,,,7.0,,,,,,,,408.0,,,0-0,1-0,,,,3-2,Rudy Quan,,Backhand,,,4168009,64.0,,,,,,,,Near,,,Ad,,,-240.0,,,,,,,,,-524.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Down the Line,,,87,,,,,,,8.0,,,,,,,,-334.0,,,0-0,1-0,,,,3-2,Rudy Quan,,Forehand,,,4169694,110.0,,,,,,,,Near,,,Ad,,,131.0,,,,,,,,,521.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,Crosscourt,,,87,,,,,,,9.0,,,,,,,,381.0,,,0-0,1-0,,,,3-2,Rudy Quan,,Forehand,,,4170960,-49.0,,,,,,,,Near,,,Deuce,,,192.0,,,,,,,,,-537.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Crosscourt,,,87,,,,,,,10.0,,,,,,,,-326.0,,,0-0,1-0,,,,3-2,Rudy Quan,,Forehand,,,4172547,93.0,,,,,,,,Near,,,Deuce,,,-70.0,,,,,,,,,570.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
,Down the Line,,,87,,,,,,,11.0,,,,,,,,304.0,,,0-0,1-0,,,,3-2,Rudy Quan,,Forehand,,,4173447,114.0,,,,,,,,Near,,,Deuce,,,127.0,,,,,,,,,-532.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Aristotelis Thanos
,Crosscourt,,,87,,,,,,,12.0,,,,,,,,-344.0,,,0-0,1-0,,,,3-2,Rudy Quan,,Backhand,,,4175001,-17.0,,,,,,,,Near,,,Ad,,,114.0,,,,,,,,,548.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos
