pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
40-0,0-2,0-0,,436380,,,12,,2,Ad,Kaylan Bigun,Far,,,,,,,,,,-161.398151793442,-510.485258092475,Crosscourt,Backhand,,,,,,,,,,154.430648512606,294.120226377801,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,1.0,,,,Savriyan Danilov,Savriyan Danilov,,,,,,,,Short
40-0,0-2,0-0,,437929,1.0,437929.0,12,,3,Ad,Kaylan Bigun,Far,,,,,,,,,,187.480539151259,472.209481627053,Down the Line,Forehand,,,,,,,,,,82.8768153980324,244.999999999873,,,,1.0,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,1.0,,,Savriyan Danilov,Kaylan Bigun,,,,Savriyan Danilov,1,,,
40-15,0-2,0-0,1.0,468579,,,13,,1,Deuce,Kaylan Bigun,Far,1.0,T,35.6269302274532,-210.802925415464,,,,,,-44.5084098862412,450.842142388219,,,,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,1.0,,,Savriyan Danilov,Kaylan Bigun,,,,,,1st Serve In,T,
40-15,0-2,0-0,,469269,,,13,,2,Deuce,Kaylan Bigun,Far,,,,,,,,,,70.0395778652307,-486.835569772277,Crosscourt,Backhand,,,,,,,,,,-19.6932797462715,455.248835301602,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,1.0,,,,Savriyan Danilov,Savriyan Danilov,1.0,,,,,,,Long
40-15,0-2,0-0,,470779,,,13,,3,Deuce,Kaylan Bigun,Far,,,,,,,,,,-14.93111329833,531.349185257818,Crosscourt,Forehand,,,,,,,,,,116.460012029686,-268.735848643781,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,1.0,,,,Savriyan Danilov,Kaylan Bigun,1.0,,,,,,,Short
40-15,0-2,0-0,,471929,,,13,,4,Deuce,Kaylan Bigun,Far,,,,,,,,,,165.420893481979,-491.492514216719,Down the Line,Forehand,,,,,,,,,,55.4624453193064,346.830211067187,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,1.0,,,,Savriyan Danilov,Savriyan Danilov,,,,,,,,Short
40-15,0-2,0-0,,473170,,,13,,5,Ad,Kaylan Bigun,Far,,,,,,,,,,45.1020395887781,473.077898074996,Crosscourt,Forehand,,,,,,,,,,-3.6867125984232896,-454.538998249984,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,1.0,,,,Savriyan Danilov,Kaylan Bigun,,,,,,,,Deep
40-15,0-2,0-0,,474730,1.0,474730.0,13,,6,Ad,Kaylan Bigun,Far,,,,,,,,,,-87.5115212160528,-451.25116469793,Down the Line,Backhand,,,,,,,,,,-39.0370953630594,282.818410979732,1.0,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,1.0,,,Savriyan Danilov,Savriyan Danilov,,,,Savriyan Danilov,,,,Short
40-30,0-2,0-0,1.0,506269,,,14,,1,Ad,Kaylan Bigun,Far,1.0,Wide,-125.226853674476,-182.916453411979,,,,,,82.4562335957579,448.035941600819,,,1.0,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,,,,,Savriyan Danilov,Kaylan Bigun,,,,,,1st Serve In,Wide,
40-30,0-2,0-0,,507179,,,14,,2,Ad,Kaylan Bigun,Far,,,,,,,,,,-199.871013779424,-511.049032151967,Crosscourt,Backhand,,,,,,,,,,88.0096511373124,297.600590551027,,,,,,UCLA,1/20/25,Division 1,,,,,USD,Kaylan Bigun,Savriyan Danilov,Left,Right,,,,1.0,,,,Savriyan Danilov,Savriyan Danilov,,,,,,,,Short
