pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,0-1,0-0,,253550,,,6,,7,Ad,Miguel Perez Pena,Near,,,,,,,,,,-178.4339731,-539.6737041,Down the Line,Backhand,,,,,,,,,,-107.9062172,270.3771434819251,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,1.0,,,,Kaylan Bigun,Miguel Perez Pena,,,,,,,,Short
0-0,0-1,0-0,,254949,,,6,,8,Deuce,Miguel Perez Pena,Near,,,,,,,,,,-87.44958989,254.93634076977207,Crosscourt,,,1.0,,,,,,,,111.06792978996889,-300.7531551,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,,1.0,,,Kaylan Bigun,Kaylan Bigun,,,,,,,,Short
0-0,0-1,0-0,,256329,,,6,,9,Deuce,Miguel Perez Pena,Near,,,,,,,,,,133.7271762903946,-443.3741743,Down the Line,Forehand,,,,,,,,,,128.21264763772905,99.84389216967718,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,1.0,,,,Kaylan Bigun,Miguel Perez Pena,,,,,,,,Short
0-0,0-1,0-0,,256950,,,6,,10,Ad,Miguel Perez Pena,Near,,,,,,,,,,128.21264763772905,146.11202427813973,Crosscourt,,,1.0,,,,,1,,,-130.3123414,-278.1633421,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,,1.0,,,Kaylan Bigun,Kaylan Bigun,,,,,,,,Short
0-0,0-1,0-0,,258570,1.0,258570.0,6,,11,Ad,Miguel Perez Pena,Near,,,,,,,,,,-199.0195921,-460.1678587,Down the Line,Backhand,,,,,,,,,,-87.81979987,175.2733322396295,1.0,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,,1.0,,,Kaylan Bigun,Miguel Perez Pena,,,,Miguel Perez Pena,,,,Short
15-0,0-1,0-0,1.0,290049,,,7,,1,Ad,Miguel Perez Pena,Near,1.0,Wide,122.62841754149396,224.55925743645443,,,,,,-10.36274059,-429.6867399,,,,,,,,,,,,,,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,,1.0,,,Kaylan Bigun,Miguel Perez Pena,,,,,,1st Serve In,Wide,
15-0,0-1,0-0,,290869,,,7,,2,Ad,Miguel Perez Pena,Near,,,,,,,,,,151.2431375764748,501.7924048553838,Crosscourt,Backhand,,,,,,,,,,-87.14318679,-180.7885499,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,,1.0,,,Kaylan Bigun,Kaylan Bigun,1.0,,,,,,,Short
15-0,0-1,0-0,,292230,,,7,,3,Ad,Miguel Perez Pena,Near,,,,,,,,,,-143.5180665,-365.8543799,Crosscourt,Backhand,1.0,,,,,,,,,87.900257,499.3395341204769,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,,,,,Kaylan Bigun,Miguel Perez Pena,,,,,,,,Long
15-0,0-1,0-0,,293899,,,7,,4,Ad,Miguel Perez Pena,Near,,,,,,,,,,69.53363954502095,456.5115376200616,Crosscourt,Backhand,,,,,,,,,,-102.7086942,-295.3525755,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,1.0,,,,Kaylan Bigun,Kaylan Bigun,1.0,,,,,,,Short
15-0,0-1,0-0,,295100,,,7,,5,Ad,Miguel Perez Pena,Near,,,,,,,,,,-139.8709318,-495.1675525,Crosscourt,Backhand,,,,,,,,,,76.18226159226161,363.08944116341695,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,1.0,,,,Kaylan Bigun,Miguel Perez Pena,,,,,,,,Deep
15-0,0-1,0-0,,296329,,,7,,6,Ad,Miguel Perez Pena,Near,,,,,,,,,,87.15956911631542,505.4072725281728,Crosscourt,Backhand,,,,,,,,,,-116.9660269,-402.4985838,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,1.0,,,,Kaylan Bigun,Kaylan Bigun,1.0,,,,,,,Deep
15-0,0-1,0-0,,297559,,,7,,7,Ad,Miguel Perez Pena,Near,,,,,,,,,,-139.7379976,-527.49153,Down the Line,Backhand,,,,,,,,,,-102.6140748,242.53587598412668,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,,1.0,,,Kaylan Bigun,Miguel Perez Pena,,,,,,,,Short
15-0,0-1,0-0,,299200,,,7,,8,Deuce,Miguel Perez Pena,Near,,,,,,,,,,-69.36162511,494.6619969376272,Crosscourt,Forehand,,,,,,,,,,142.55717410316345,-366.8375875,,,,,,UCLA,01/26/25,Division 1,Singles Dual-Match,,,,UGA,Kaylan Bigun,Miguel Perez Pena,Left,Right,3rd,Hard,,,1.0,,,Kaylan Bigun,Kaylan Bigun,1.0,,,,,,,Deep
