pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
30-0,1-1,0-0,1.0,366999,1.0,375999.0,13,,1,Deuce,Spencer Johnson,Far,0.0,Wide,161.723922790818,-204.934339457462,0.0,Wide,181.756064085645,-242.577980096113,,20.1581474190622,437.952542650692,,,,,,,,,,,,,,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,1.0,,,Thomas Paulsell,Spencer Johnson,,,1,Thomas Paulsell,,Double Fault,Wide,
30-15,1-1,0-0,1.0,398999,,,14,,1,Ad,Spencer Johnson,Far,0.0,Body,-59.1528707348776,-263.837073490677,,,,,,39.4981353893059,449.98624234447504,,,,,,,,,,,,,,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,1.0,,,Thomas Paulsell,Spencer Johnson,,,,,,Double Fault,,
30-15,1-1,0-0,,400000,,,14,,2,Ad,Spencer Johnson,Far,,,,,,,,,,-92.8756616359975,-515.103275371562,Crosscourt,Forehand,,,,,,,,,,25.7548939194968,275.723217410181,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,1.0,,,,Thomas Paulsell,Thomas Paulsell,1.0,,,,,,,Short
30-15,1-1,0-0,,401999,,,14,,3,Ad,Spencer Johnson,Far,,,,,,,,,,25.2105643044489,456.460897856282,Crosscourt,Forehand,,,,,,,,,,-92.2326935695062,-263.284820647283,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,1.0,,,,Thomas Paulsell,Spencer Johnson,,,,,,,,Short
30-15,1-1,0-0,,403000,,,14,,4,Ad,Spencer Johnson,Far,,,,,,,,,,-130.880019684972,-518.166043306819,Down the Line,Backhand,,,,,,,,,,-133.898463473247,382.45836614153507,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,1.0,,,,Thomas Paulsell,Thomas Paulsell,,,,,,,,Deep
30-15,1-1,0-0,,406999,1.0,406999.0,14,,5,Deuce,Spencer Johnson,Far,,,,,,,,,,-96.4314304461444,553.635389326048,Down the Line,Forehand,,,,,,,,,,-60.389047462786,-404.982381889555,1.0,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,1.0,,,Thomas Paulsell,Spencer Johnson,,1.0,,Spencer Johnson,,,,Deep
40-15,1-1,0-0,1.0,438999,,,15,,1,Deuce,Spencer Johnson,Far,0.0,Body,100.633727034069,235.994274934261,1.0,T,44.4038385826542,-167.405757873929,,-18.0426071740939,466.648370515944,,,,,,,,,,,,,,,,,1.0,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,1.0,,,Thomas Paulsell,Spencer Johnson,,,,,,2nd Serve In,T,
40-15,1-1,0-0,,454000,1.0,454000.0,15,,2,Deuce,Spencer Johnson,Far,,,,,,,,,,84.9157261591862,-527.809990157208,Down the Line,Backhand,,,,,,,,,,104.670516185423,-51.79062226594,,,,1.0,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,1.0,,,,Thomas Paulsell,Thomas Paulsell,,1.0,,Spencer Johnson,1,,,
0-0,2-1,0-0,1.0,545999,,,16,,1,Deuce,Thomas Paulsell,Far,,,,,0.0,Wide,159.403373796943,-221.004636920271,,-49.0413768591173,489.717136920132,,,1.0,,,,,,,,,,,,,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,,,,,Spencer Johnson,Thomas Paulsell,,,,,,Double Fault,Wide,
0-0,2-1,0-0,,548000,1.0,548000.0,16,,2,Deuce,Thomas Paulsell,Far,,,,,,,,,,204.456228127628,-419.045384951665,Down the Line,Backhand,,,,,,,,,,196.442054899286,259.131824146848,,1.0,,,,UCLA,1/26/2025,Division 1,ITA Kickoff Weekend,,,Murr Center,Georgia,Spencer Johnson,Thomas Paulsell,Left,Right,,Hard,,1.0,,,,Spencer Johnson,Spencer Johnson,,,,Thomas Paulsell,1,,,
