pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
15-0,0-1,0-0,1.0,745994,,,7,,1,Ad,Rudy Quan,Near,0.0,Body,80.0,251.0,1.0,Body,75.0,222.0,,,,,,,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,,,2nd Serve In,Body,
15-0,0-1,0-0,,785015,,,7,,2,Ad,Rudy Quan,Near,,,,,,,,,,91.0,450.0,Down the Line,Forehand,,,,,,,,,,94.0,-387.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,1.0,,,,,,Deep
15-0,0-1,0-0,,785911,,,7,,3,Deuce,Rudy Quan,Near,,,,,,,,,,99.0,-456.0,Down the Line,Forehand,,,,,,,,,,30.0,447.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,,,,,Deep
15-0,0-1,0-0,,787255,1.0,789167.0,7,,4,Ad,Rudy Quan,Near,,,,,,,,,,27.0,460.0,Crosscourt,Forehand,,,,,,,,,,-205.0,-374.0,,1.0,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,1.0,,,Rudy Quan,1,,,
30-0,0-1,0-0,1.0,789157,,,8,,1,Deuce,Rudy Quan,Near,0.0,Wide,-162.0,139.0,1.0,Body,-56.0,177.0,,,,,,,,,,,,,,,,,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,,,2nd Serve In,Body,
30-0,0-1,0-0,,826603,,,8,,2,Deuce,Rudy Quan,Near,,,,,,,,,,-85.0,444.0,Crosscourt,Forehand,,,,,,,,,,67.0,-368.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,,,,,,,Deep
30-0,0-1,0-0,,827555,,,8,,3,Deuce,Rudy Quan,Near,,,,,,,,,,104.0,-440.0,Down the Line,Forehand,1.0,,,,,,,,,80.0,189.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,,,,,Short
30-0,0-1,0-0,,829497,,,8,,4,Ad,Rudy Quan,Near,,,,,,,,,,51.0,375.0,Crosscourt,Backhand,,,,,,,,,,-72.0,-411.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,,,,,,,Deep
30-0,0-1,0-0,,831756,,,8,,5,Ad,Rudy Quan,Near,,,,,,,,,,-104.0,-469.0,Crosscourt,Backhand,,,1.0,1.0,,,,,,64.0,170.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,,,,,Short
30-0,0-1,0-0,,832124,1.0,832834.0,8,,6,Ad,Rudy Quan,Near,,,,,,,,,,62.0,143.0,Crosscourt,Forehand,,,,,,,,1,,-93.0,-240.0,1.0,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,1.0,,,Iiro Vasa,,,,Short
