pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
30-0,1-0,0-0,,324000,,,7,,9,Ad,Theo Papamalamis,Far,,,,,,,,,,84.52297135,537.9857119,Crosscourt,Backhand,,,,,,,,,,-105.219171,-369.5875984,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,1.0,,,,Spencer Johnson,Theo Papamalamis,,,,,,,,Deep
30-0,1-0,0-0,,326000,,,7,,10,Ad,Theo Papamalamis,Far,,,,,,,,,,-118.5639928,-532.0337981,Crosscourt,Backhand,,,,,,,,,,115.0659832,325.219089,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Spencer Johnson,Spencer Johnson,1.0,,,,,,,Short
30-0,1-0,0-0,,327000,,,7,,11,Ad,Theo Papamalamis,Far,,,,,,,,,,151.9556923,528.4265092,Crosscourt,Backhand,,,,,,,,,,-96.3623797,-224.9583279,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,1.0,,,,Spencer Johnson,Theo Papamalamis,,,,,,,,Short
30-0,1-0,0-0,,328000,,,7,,12,Ad,Theo Papamalamis,Far,,,,,,,,,,-183.577909,-478.2433836,Crosscourt,Backhand,,,,,,,,,,54.27706146,306.2356463,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Spencer Johnson,Spencer Johnson,1.0,,,,,,,Short
30-0,1-0,0-0,,329000,1.0,329000.0,7,,13,Ad,Theo Papamalamis,Far,,,,,,,,,,85.33864283,517.9840387,Crosscourt,Backhand,,,,,,,,,,-141.3637905,-455.1336614,,,,,1.0,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,1.0,,,,Spencer Johnson,Theo Papamalamis,,,,Spencer Johnson,1,,,Long
30-15,1-0,0-0,1.0,366000,,,8,,1,Ad,Theo Papamalamis,Far,0.0,Wide,-139.0722168,-245.8340059,,,,,,20.1002734,473.3998797,,,,,,,,,,,,,,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Spencer Johnson,Theo Papamalamis,,,,,,Double Fault,,
30-15,1-0,0-0,,367000,,,8,,2,Ad,Theo Papamalamis,Far,,,,,,,,,,-184.0751969,-494.9974519,Down the Line,Backhand,,,,,,,,,,-142.0822397,167.6404309,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Spencer Johnson,Spencer Johnson,,1.0,,,,,,Short
30-15,1-0,0-0,,71000,1.0,71000.0,8,,3,Deuce,Theo Papamalamis,Far,,,,,,,,,,-85.08242017,425.7445319,Crosscourt,Forehand,,,,,,,,,,57.87899169,-431.4049322,1.0,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,1.0,,,,Spencer Johnson,Theo Papamalamis,,,,Theo Papamalamis,,,,Deep
40-15,1-0,0-0,1.0,102000,,,9,,1,Deuce,Theo Papamalamis,Far,1.0,Wide,147.5695538,-199.5331474,,,,,,-51.73940836,484.2096511,,,1.0,,,,,,,,,,,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,,,,Spencer Johnson,Theo Papamalamis,,,,,,1st Serve In,Wide,
40-15,1-0,0-0,,102000,,,9,,2,Deuce,Theo Papamalamis,Far,,,,,,,,,,196.6983541,-481.8807196,Crosscourt,Forehand,,,,,,,,,,-38.28473316,213.3191054,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,1.0,,,,Spencer Johnson,Spencer Johnson,1.0,,,,,,,Short
40-15,1-0,0-0,,105000,,,9,,3,Deuce,Theo Papamalamis,Far,,,,,,,,,,-99.71654637,361.795467,Down the Line,Forehand,,,,,,,,,,-107.6661855,-376.3597769,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,1.0,,,,Spencer Johnson,Theo Papamalamis,,,,,,,,Deep
40-15,1-0,0-0,,106000,,,9,,4,Ad,Theo Papamalamis,Far,,,,,,,,,,-115.7677439,-475.8494587,Crosscourt,Forehand,,,,,,,,,,92.82077318,486.1609853,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,1.0,,,,Spencer Johnson,Spencer Johnson,,,,,,,,Long
40-15,1-0,0-0,,110000,,,9,,5,Ad,Theo Papamalamis,Far,,,,,,,,,,108.4022036,458.4911964,Down the Line,Forehand,,,1.0,,,,,,,76.34776903,-447.675607,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Spencer Johnson,Theo Papamalamis,,1.0,,,,,,Deep
40-15,1-0,0-0,,111000,,,9,,6,Deuce,Theo Papamalamis,Far,,,,,,,,,,95.60718504,-555.4954342,Crosscourt,Forehand,,,,,,,,,,-0.03441054243,233.1265256,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,1.0,,,,Spencer Johnson,Spencer Johnson,1.0,,,,,,,Short
40-15,1-0,0-0,,113000,,,9,,7,Deuce,Theo Papamalamis,Far,,,,,,,,,,-25.14403981,495.2219816,Down the Line,Forehand,,,,,,,,,,-161.7804954,-386.0221347,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,1.0,,,,Spencer Johnson,Theo Papamalamis,,,,,,,,
40-15,1-0,0-0,,114000,1.0,114000.0,9,,8,Ad,Theo Papamalamis,Far,,,,,,,,,,-146.1201772,-462.325771,Down the Line,Backhand,,,,,,,,,,-56.89249234,-118.4943296,,,,1.0,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,1.0,,,,Spencer Johnson,Spencer Johnson,,1.0,,Theo Papamalamis,1,,,
40-30,1-0,0-0,1.0,149000,,,10,,1,Ad,Theo Papamalamis,Far,0.0,T,22.59023403,9.042202537,1.0,Wide,-106.8989337,-179.9722277,,35.6765748,481.2094652,,,1.0,,,,,,,,,,,,,,1.0,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,,,,Spencer Johnson,Theo Papamalamis,,,,,,2nd Serve In,Wide,
40-30,1-0,0-0,,158000,,,10,,2,Ad,Theo Papamalamis,Far,,,,,,,,,,-172.7172299,-468.105058,Crosscourt,Backhand,,,,,,,,,,74.33737423,439.8507108,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Spencer Johnson,Spencer Johnson,1.0,,,,,,,Deep
40-30,1-0,0-0,,159000,,,10,,3,Ad,Theo Papamalamis,Far,,,,,,,,,,77.487757,491.6849683,Crosscourt,Backhand,,,,,,,,,,-83.21954287,-368.4948053,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Spencer Johnson,Theo Papamalamis,,,,,,,,Deep
40-30,1-0,0-0,,161000,,,10,,4,Ad,Theo Papamalamis,Far,,,,,,,,,,-96.06409121,-483.2894084,Crosscourt,Backhand,,,,,,,,,,152.1214294,427.7493001,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,1.0,,,,Spencer Johnson,Spencer Johnson,1.0,,,,,,,Deep
40-30,1-0,0-0,,162000,,,10,,5,Ad,Theo Papamalamis,Far,,,,,,,,,,165.0014217,545.546577,Down the Line,Backhand,,,,,,,,,,151.5104987,-174.2897802,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Spencer Johnson,Theo Papamalamis,,,,,,,,Short
40-30,1-0,0-0,,163000,1.0,163000.0,10,,6,Deuce,Theo Papamalamis,Far,,,,,,,,,,151.5104987,-194.3943788,Down the Line,,,1.0,,,,,1,,,124.0372211,-33.04537402,,,,1.0,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Spencer Johnson,Spencer Johnson,,,,Theo Papamalamis,1,,,
0-0,1-1,0-0,1.0,204000,,,11,,1,Deuce,Spencer Johnson,Near,1.0,T,-29.59107612,242.1942203,,,,,,18.4971402,-433.0076444,,,1.0,,,,,,,,,,,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,,,,Theo Papamalamis,Spencer Johnson,,,,,,1st Serve In,T,
0-0,1-1,0-0,,204000,,,11,,2,Deuce,Spencer Johnson,Near,,,,,,,,,,-38.83997157,532.0903707,Down the Line,Backhand,,,,,,,,,,-22.17971894,-199.0119751,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Theo Papamalamis,Theo Papamalamis,,1.0,,,,,,Short
0-0,1-1,0-0,,206000,,,11,,3,Ad,Spencer Johnson,Near,,,,,,,,,,-22.17971894,-219.1165737,Down the Line,,,1.0,,,,,1,,,-84.13354659,415.3608924,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Theo Papamalamis,Spencer Johnson,,,,,,,,Deep
0-0,1-1,0-0,,207000,,,11,,4,Deuce,Spencer Johnson,Near,,,,,,,,,,-98.4931157,543.2815289,Crosscourt,Forehand,,,,,,,,,,26.91111111,-215.0461778,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Theo Papamalamis,Theo Papamalamis,,,,,,,,Short
0-0,1-1,0-0,,208000,1.0,208000.0,11,,5,Deuce,Spencer Johnson,Near,,,,,,,,,,26.91111111,-235.1507765,Crosscourt,,,1.0,,,,,1,,,-242.1564414,605.3659558,,,1.0,,1.0,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Theo Papamalamis,Spencer Johnson,,,,Theo Papamalamis,1,,,
0-15,1-1,0-0,1.0,234000,,,12,,1,Ad,Spencer Johnson,Near,1.0,Wide,146.845899,237.2352362,,,,,,-51.72314086,-471.3629976,,,,,,,,,,,,,,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,,1.0,,Theo Papamalamis,Spencer Johnson,,,,,,1st Serve In,Wide,
0-15,1-1,0-0,,235000,1.0,235000.0,12,,2,Ad,Spencer Johnson,Near,,,,,,,,,,210.2449311,464.0085958,Down the Line,Backhand,,,,,,,,,,72.10191382,253.9804626,,,,1.0,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Theo Papamalamis,Theo Papamalamis,,,,Spencer Johnson,1,,,
15-15,1-1,0-0,1.0,266000,,,13,,1,Deuce,Spencer Johnson,Near,0.0,Wide,-189.7718066,449.0124125,1.0,T,-11.44389764,225.0274552,,12.16942804,-435.0778653,,,1.0,,,,,,,,,,,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,,,,Theo Papamalamis,Spencer Johnson,,,,,,2nd Serve In,T,
15-15,1-1,0-0,,280000,,,13,,2,Deuce,Spencer Johnson,Near,,,,,,,,,,-27.12875109,525.7232338,Down the Line,Backhand,,,,,,,,,,-85.5901192,-311.4047299,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,1.0,,,,Theo Papamalamis,Theo Papamalamis,,1.0,,,,,,Short
15-15,1-1,0-0,,282000,,,13,,3,Ad,Spencer Johnson,Near,,,,,,,,,,-105.1450678,-508.1622977,Down the Line,Backhand,,,,,,,,,,-122.7541557,243.3025919,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,1.0,,,,Theo Papamalamis,Spencer Johnson,,1.0,,,,,,Short
15-15,1-1,0-0,,283000,,,13,,4,Deuce,Spencer Johnson,Near,,,,,,,,,,-128.8512139,579.2348425,Down the Line,Forehand,,,,,,,,,,-29.66188758,-163.2863298,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Theo Papamalamis,Theo Papamalamis,,,,,,,,Short
15-15,1-1,0-0,,284000,,,13,,5,Ad,Spencer Johnson,Near,,,,,,,,,,-29.66188758,-183.3909285,Crosscourt,,,1.0,,,,,1,,,77.35451662,237.5155348,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Theo Papamalamis,Spencer Johnson,,,,,,,,Short
15-15,1-1,0-0,,285000,,,13,,6,Ad,Spencer Johnson,Near,,,,,,,,,,127.408306,488.6194062,Down the Line,Backhand,,,,,,,,,,46.82604987,-43.84714567,,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Theo Papamalamis,Theo Papamalamis,,,,,,,,Short
15-15,1-1,0-0,,286000,1.0,286000.0,13,,7,Deuce,Spencer Johnson,Near,,,,,,,,,,46.82604987,-63.95174431,Down the Line,Forehand,,,1.0,,,,1,,,1.999486002,243.3926947,1.0,,,,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Theo Papamalamis,Spencer Johnson,,1.0,,Spencer Johnson,,,,Short
30-15,1-1,0-0,1.0,320000,,,14,,1,Ad,Spencer Johnson,Near,0.0,T,-20.64192367,-7.630528215,1.0,Body,55.78366142,175.6463364,,-52.41506452,-468.8865103,,,,,,,,,,,,,,,,,1.0,,UCLA,1/25/25,Division 1,,,,,Texas A&M,Spencer Johnson,Theo Papamalamis,Left,Right,#1 Singles Dual-Match,,,,1.0,,,Theo Papamalamis,Spencer Johnson,,,,,,2nd Serve In,Body,
