pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,isInsideOut,isInsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
15-0,2-3,0-1,,3985816,,,85,,13,Ad,Anne Lutkemeyer,Far,,,,,,,,,,64.0,523.0,Down the Line,Backhand,,,,,,,,,,37.0,-305.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Anne Lutkemeyer,,,,,0,,,Short
15-0,2-3,0-1,,3987055,,,85,,14,Ad,Anne Lutkemeyer,Far,,,,,,,,,,-11.0,-487.0,Down the Line,Forehand,,,,,,,,,,-67.0,186.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Catherine Gagnon,,1,,,0,,,Short
15-0,2-3,0-1,,3988670,,,85,,15,Deuce,Anne Lutkemeyer,Far,,,,,,,,,,-101.0,504.0,Crosscourt,Forehand,,,,,,,,,,96.0,-270.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Anne Lutkemeyer,,,,,0,,,Short
15-0,2-3,0-1,,3989897,1.0,,85,,16,Deuce,Anne Lutkemeyer,Far,,,,,,,,,,170.0,-495.0,Crosscourt,Forehand,,,,,,,,,,-240.0,338.0,,,1.0,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Catherine Gagnon,,,,Anne Lutkemeyer,1,,,
30-0,2-3,0-1,1.0,3992719,,,86,,1,Deuce,Anne Lutkemeyer,Far,0.0,T,-37.0,2.0,1.0,T,21.0,-146.0,,,,,,,,,,,,,,,,,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Anne Lutkemeyer,,,,,0,2nd Serve In,T,
30-0,2-3,0-1,,4039909,,,86,,2,Deuce,Anne Lutkemeyer,Far,,,,,,,,,,96.0,-409.0,Down the Line,Backhand,,,,,,,,,,67.0,377.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Catherine Gagnon,,1,,,0,,,Deep
30-0,2-3,0-1,,4041324,,,86,,3,Deuce,Anne Lutkemeyer,Far,,,,,,,,,,-5.0,483.0,Crosscourt,Backhand,,,,,,,,,,72.0,-254.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Anne Lutkemeyer,1,,,,0,,,Short
30-0,2-3,0-1,,4042441,,,86,,4,Deuce,Anne Lutkemeyer,Far,,,,,,,,,,67.0,-484.0,Crosscourt,Forehand,,,,,,,,,,-67.0,420.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Catherine Gagnon,,,,,0,,,Deep
30-0,2-3,0-1,,4043875,,,86,,5,Deuce,Anne Lutkemeyer,Far,,,,,,,,,,-99.0,504.0,Down the Line,Forehand,,,,,,,,,,-91.0,-281.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Anne Lutkemeyer,,,,,0,,,Short
30-0,2-3,0-1,,4045107,1.0,,86,,6,Ad,Anne Lutkemeyer,Far,,,,,,,,,,-99.0,-500.0,Crosscourt,Backhand,,,,,,,,,,51.0,481.0,,,,,1.0,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Catherine Gagnon,,,,Anne Lutkemeyer,1,,,Long
40-0,2-3,0-1,1.0,4048803,,,87,,1,Ad,Anne Lutkemeyer,Far,0.0,Body,-91.0,2.0,1.0,Body,-69.0,-151.0,,,,,,,,,,,,,,,,,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Anne Lutkemeyer,,,,,0,2nd Serve In,Body,
40-0,2-3,0-1,,4077974,,,87,,2,Ad,Anne Lutkemeyer,Far,,,,,,,,,,-187.0,-391.0,Down the Line,Forehand,,,,,,,,,,-88.0,191.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Catherine Gagnon,,1,,,0,,,Short
40-0,2-3,0-1,,4079050,,,87,,3,Deuce,Anne Lutkemeyer,Far,,,,,,,,,,-88.0,491.0,Crosscourt,Forehand,,,,,,,,,,40.0,-337.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Anne Lutkemeyer,,,,,0,,,Short
40-0,2-3,0-1,,4080478,1.0,,87,,4,Deuce,Anne Lutkemeyer,Far,,,,,,,,,,32.0,-476.0,Crosscourt,Forehand,,,,,,,,,,-56.0,2.0,,,,1.0,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Catherine Gagnon,Catherine Gagnon,,,,Anne Lutkemeyer,1,,,Short
